id,model,maxae,horizon,context,eta,dataset
8,NHITS,172.37564849853516,5,full,10,.
2,NHITS,122.0,5,full,10,.
6,NHITS,221.070068359375,5,full,10,.
11,NHITS,131.0,5,full,10,.
1,NHITS,128.0,5,full,10,.
5,NHITS,161.0,5,full,10,.
4,Autoformer,,5,full,10,.
10,Autoformer,,5,full,10,.
3,Autoformer,,5,full,10,.
9,Autoformer,,5,full,10,.
8,Autoformer,,5,full,10,.
2,Autoformer,,5,full,10,.
6,Autoformer,,5,full,10,.
11,Autoformer,,5,full,10,.
1,Autoformer,,5,full,10,.
5,Autoformer,,5,full,10,.
4,ETS,149.05525015950036,5,full,10,.
10,ETS,377.9034753196691,5,full,10,.
3,ETS,1121.791839042706,5,full,10,.
9,ETS,555.5887110090382,5,full,10,.
8,ETS,671.993022356632,5,full,10,.
2,ETS,519.3895268612824,5,full,10,.
6,ETS,640.5649123847568,5,full,10,.
11,ETS,775.0960548788004,5,full,10,.
1,ETS,128.0,5,full,10,.
5,ETS,895.299279346779,5,full,10,.
4,HBML (c),,5,full,10,.
10,HBML (c),,5,full,10,.
3,HBML (c),,5,full,10,.
9,HBML (c),,5,full,10,.
8,HBML (c),,5,full,10,.
2,HBML (c),,5,full,10,.
6,HBML (c),,5,full,10,.
11,HBML (c),,5,full,10,.
1,HBML (c),,5,full,10,.
5,HBML (c),,5,full,10,.
4,HBML (d),,5,full,10,.
10,HBML (d),,5,full,10,.
3,HBML (d),,5,full,10,.
9,HBML (d),,5,full,10,.
8,HBML (d),,5,full,10,.
2,HBML (d),,5,full,10,.
6,HBML (d),,5,full,10,.
11,HBML (d),,5,full,10,.
1,HBML (d),,5,full,10,.
5,HBML (d),,5,full,10,.
4,HBML (fd),,5,full,10,.
10,HBML (fd),,5,full,10,.
3,HBML (fd),,5,full,10,.
9,HBML (fd),,5,full,10,.
8,HBML (fd),,5,full,10,.
2,HBML (fd),,5,full,10,.
6,HBML (fd),,5,full,10,.
11,HBML (fd),,5,full,10,.
1,HBML (fd),,5,full,10,.
5,HBML (fd),,5,full,10,.
4,HBML-SFH,120.0,5,full,10,.
10,HBML-SFH,198.1540209512161,5,full,10,.
3,HBML-SFH,527.4361613320814,5,full,10,.
9,HBML-SFH,396.6311097693322,5,full,10,.
8,HBML-SFH,351.9818011198501,5,full,10,.
2,HBML-SFH,247.40239814872797,5,full,10,.
6,HBML-SFH,495.06039710216646,5,full,10,.
11,HBML-SFH,463.3448740602049,5,full,10,.
1,HBML-SFH,128.0,5,full,10,.
5,HBML-SFH,493.5301277237819,5,full,10,.
4,HBML-SFHDF,120.0,5,full,10,.
10,HBML-SFHDF,208.73455389924987,5,full,10,.
3,HBML-SFHDF,151.9249065159367,5,full,10,.
9,HBML-SFHDF,452.6953325757128,5,full,10,.
8,HBML-SFHDF,389.9238731819364,5,full,10,.
2,HBML-SFHDF,388.01621125146426,5,full,10,.
6,HBML-SFHDF,577.5536031426948,5,full,10,.
11,HBML-SFHDF,497.1717340900705,5,full,10,.
1,HBML-SFHDF,128.0,5,full,10,.
5,HBML-SFHDF,503.1592648164404,5,full,10,.
4,NODE,120.0,5,24,10,.
10,NODE,149.0,5,24,10,.
3,NODE,124.54544067382812,5,24,10,.
9,NODE,145.0,5,24,10,.
8,NODE,123.0,5,24,10,.
2,NODE,122.0,5,24,10,.
6,NODE,118.0,5,24,10,.
11,NODE,131.0,5,24,10,.
1,NODE,128.0,5,24,10,.
5,NODE,161.0,5,24,10,.
4,ARIMA,120.0,5,24,10,.
10,ARIMA,149.0,5,24,10,.
3,ARIMA,511.84940777809106,5,24,10,.
9,ARIMA,411.0,5,24,10,.
8,ARIMA,123.0,5,24,10,.
2,ARIMA,193.17804534417303,5,24,10,.
6,ARIMA,196.5568490224486,5,24,10,.
11,ARIMA,131.0,5,24,10,.
1,ARIMA,128.0,5,24,10,.
5,ARIMA,1031.4957524679262,5,24,10,.
4,XGBoost,120.0,5,24,10,.
10,XGBoost,149.0,5,24,10,.
3,XGBoost,153.3199920654297,5,24,10,.
9,XGBoost,145.0,5,24,10,.
8,XGBoost,151.79428100585938,5,24,10,.
2,XGBoost,122.0,5,24,10,.
6,XGBoost,126.02536010742188,5,24,10,.
11,XGBoost,131.0,5,24,10,.
1,XGBoost,128.0,5,24,10,.
5,XGBoost,163.95127868652344,5,24,10,.
4,NHITS,120.0,5,24,10,.
10,NHITS,149.0,5,24,10,.
3,NHITS,181.13775634765625,5,24,10,.
9,NHITS,170.0540771484375,5,24,10,.
8,NHITS,136.16217803955078,5,24,10,.
2,NHITS,122.0,5,24,10,.
6,NHITS,118.0,5,24,10,.
11,NHITS,131.0,5,24,10,.
1,NHITS,128.0,5,24,10,.
5,NHITS,209.68533325195312,5,24,10,.
4,ETS,186.8304709788643,5,24,10,.
10,ETS,149.0,5,24,10,.
3,ETS,566.338667942415,5,24,10,.
9,ETS,318.34273806535873,5,24,10,.
8,ETS,485.5959522929884,5,24,10,.
2,ETS,234.5469133181364,5,24,10,.
6,ETS,297.4737428445876,5,24,10,.
11,ETS,594.6578636505111,5,24,10,.
1,ETS,128.0,5,24,10,.
5,ETS,675.106859540904,5,24,10,.
4,HBML (c),120.0,5,24,10,.
10,HBML (c),149.0,5,24,10,.
3,HBML (c),511.84940777809106,5,24,10,.
9,HBML (c),318.34273806535873,5,24,10,.
8,HBML (c),485.5959522929884,5,24,10,.
2,HBML (c),193.17804534417303,5,24,10,.
6,HBML (c),196.5568490224486,5,24,10,.
11,HBML (c),594.6578636505111,5,24,10,.
1,HBML (c),128.0,5,24,10,.
5,HBML (c),675.106859540904,5,24,10,.
4,HBML (d),120.0,5,24,10,.
10,HBML (d),149.0,5,24,10,.
3,HBML (d),351.54227614429345,5,24,10,.
9,HBML (d),347.0,5,24,10,.
8,HBML (d),397.04145088966743,5,24,10,.
2,HBML (d),182.58946880468451,5,24,10,.
6,HBML (d),297.4737428445876,5,24,10,.
11,HBML (d),594.6578636505111,5,24,10,.
1,HBML (d),128.0,5,24,10,.
5,HBML (d),784.3581726488053,5,24,10,.
4,HBML (fd),120.0,5,24,10,.
10,HBML (fd),149.0,5,24,10,.
3,HBML (fd),566.338667942415,5,24,10,.
9,HBML (fd),318.34273806535873,5,24,10,.
8,HBML (fd),306.4198571278131,5,24,10,.
2,HBML (fd),122.0,5,24,10,.
6,HBML (fd),157.63700848860017,5,24,10,.
11,HBML (fd),594.6578636505111,5,24,10,.
1,HBML (fd),128.0,5,24,10,.
5,HBML (fd),675.106859540904,5,24,10,.
4,HBML-SFH,186.823926588167,5,24,10,.
10,HBML-SFH,149.0,5,24,10,.
3,HBML-SFH,283.3760865399727,5,24,10,.
9,HBML-SFH,317.8355779425106,5,24,10,.
8,HBML-SFH,370.69347917731653,5,24,10,.
2,HBML-SFH,234.54614076533295,5,24,10,.
6,HBML-SFH,204.78107807739167,5,24,10,.
11,HBML-SFH,230.58893467014636,5,24,10,.
1,HBML-SFH,128.0,5,24,10,.
5,HBML-SFH,927.0871163803432,5,24,10,.
4,HBML-SFHDF,186.83047097839935,5,24,10,.
10,HBML-SFHDF,149.0,5,24,10,.
3,HBML-SFHDF,409.8653494370388,5,24,10,.
9,HBML-SFHDF,318.34273806535873,5,24,10,.
8,HBML-SFHDF,397.0414386928181,5,24,10,.
2,HBML-SFHDF,234.54691331813615,5,24,10,.
6,HBML-SFHDF,201.4326668350559,5,24,10,.
11,HBML-SFHDF,228.5017998235972,5,24,10,.
1,HBML-SFHDF,128.0,5,24,10,.
5,HBML-SFHDF,1031.4957504397576,5,24,10,.
4,NODE,120.0,5,6,10,.
10,NODE,149.0,5,6,10,.
3,NODE,117.0,5,6,10,.
9,NODE,145.0,5,6,10,.
8,NODE,123.0,5,6,10,.
2,NODE,122.0,5,6,10,.
6,NODE,118.0,5,6,10,.
11,NODE,131.0,5,6,10,.
1,NODE,128.0,5,6,10,.
5,NODE,161.0,5,6,10,.
4,ARIMA,863.6045184550268,5,6,10,.
10,ARIMA,827.4260235769398,5,6,10,.
3,ARIMA,2984.742830302899,5,6,10,.
9,ARIMA,1450.5237643308249,5,6,10,.
8,ARIMA,1395.9553078421695,5,6,10,.
2,ARIMA,1574.9831323494757,5,6,10,.
6,ARIMA,1055.0268400424857,5,6,10,.
11,ARIMA,1115.0,5,6,10,.
1,ARIMA,220.5704416452499,5,6,10,.
5,ARIMA,1684.770615499741,5,6,10,.
4,XGBoost,120.0,5,6,10,.
10,XGBoost,149.0,5,6,10,.
3,XGBoost,156.3954620361328,5,6,10,.
9,XGBoost,145.0,5,6,10,.
8,XGBoost,124.97927856445312,5,6,10,.
2,XGBoost,122.0,5,6,10,.
6,XGBoost,118.0,5,6,10,.
11,XGBoost,131.0,5,6,10,.
1,XGBoost,128.0,5,6,10,.
5,XGBoost,161.0,5,6,10,.
4,NHITS,120.0,5,6,10,.
10,NHITS,149.0,5,6,10,.
3,NHITS,132.8837127685547,5,6,10,.
9,NHITS,145.0,5,6,10,.
8,NHITS,152.47186279296875,5,6,10,.
