id,model,rmse,horizon,context,eta,dataset
10,HBML (c),33.544265851187625,5,24,10,.
3,HBML (c),36.0781118822027,5,24,10,.
9,HBML (c),36.737251826779925,5,24,10,.
8,HBML (c),37.230449174946365,5,24,10,.
2,HBML (c),34.36844715752664,5,24,10,.
6,HBML (c),31.45934575208349,5,24,10,.
11,HBML (c),35.81964027102505,5,24,10,.
1,HBML (c),31.6317246824463,5,24,10,.
5,HBML (c),44.21667693234731,5,24,10,.
4,HBML (d),28.966678627843415,5,24,10,.
10,HBML (d),30.60675493114036,5,24,10,.
3,HBML (d),32.10478546904529,5,24,10,.
9,HBML (d),34.67183376393661,5,24,10,.
8,HBML (d),32.96413351312228,5,24,10,.
2,HBML (d),31.752837739195822,5,24,10,.
6,HBML (d),29.73779575651882,5,24,10,.
11,HBML (d),33.44179268450697,5,24,10,.
1,HBML (d),28.743592669769484,5,24,10,.
5,HBML (d),45.16951876281736,5,24,10,.
4,HBML (fd),29.694178098456476,5,24,10,.
10,HBML (fd),30.929631459711786,5,24,10,.
3,HBML (fd),33.38012947528922,5,24,10,.
9,HBML (fd),34.11958482855948,5,24,10,.
8,HBML (fd),33.424083535830874,5,24,10,.
2,HBML (fd),31.73272641141134,5,24,10,.
6,HBML (fd),28.6329780211187,5,24,10,.
11,HBML (fd),32.12239355480836,5,24,10,.
1,HBML (fd),28.56708887897408,5,24,10,.
5,HBML (fd),42.99618633577145,5,24,10,.
4,HBML-SFH,18.47039710385959,5,24,10,.
10,HBML-SFH,19.800358440023473,5,24,10,.
3,HBML-SFH,29.288343331597027,5,24,10,.
9,HBML-SFH,22.9361144990629,5,24,10,.
8,HBML-SFH,23.860998199075,5,24,10,.
2,HBML-SFH,23.213881703003345,5,24,10,.
6,HBML-SFH,19.209761048443266,5,24,10,.
11,HBML-SFH,22.90843787734925,5,24,10,.
1,HBML-SFH,17.652285619689387,5,24,10,.
5,HBML-SFH,44.970829393235334,5,24,10,.
4,HBML-SFHDF,18.556256238925233,5,24,10,.
10,HBML-SFHDF,19.748825652473307,5,24,10,.
3,HBML-SFHDF,28.61975372285313,5,24,10,.
9,HBML-SFHDF,22.656262981435553,5,24,10,.
